user_country,location_selected,protocol,date,time_to_connect,download_speed,latency
GB,UK - London,udp,2018-02-06,15,58942,88
FR,France - Paris - 1,udp,2018-02-06,61,11878,528
GB,UK - London,udp,2018-02-06,52,18254,322
GB,UK - London,udp,2018-02-06,21,93798,38
GB,UK - London,tcp,2018-02-06,100,12048,460
GB,UK - London,udp,2018-02-06,54,26268,195
GB,UK - London,udp,2018-02-06,85,15990,
GB,UK - London,udp,2018-02-06,26,26436,205
FR,France - Paris - 1,udp,2018-02-06,33,48020,85
GB,UK - London,udp,2018-02-06,97,16836,
DE,Germany - Nuremberg,udp,2018-02-06,35,32454,153
FR,France - Paris - 1,udp,2018-02-06,23,13252,85
DE,Germany - Nuremberg,udp,2018-02-06,27,15140,334
GB,France - Paris - 1,udp,2018-02-06,42,21636,208
FR,Germany - Nuremberg,udp,2018-02-06,13,15880,36
GB,France - Paris - 1,udp,2018-02-06,77,15036,
FR,France - Paris - 1,udp,2018-02-06,39,24024,166
GB,UK - London,udp,2018-02-06,213,27628,118
GB,UK - London,udp,2018-02-06,39,36228,89
GB,UK - London,udp,2018-02-06,21,77056,44
DE,France - Paris - 1,udp,2018-02-06,34,55576,62
GB,UK - London,udp,2018-02-06,17,73804,68
GB,UK - London,udp,2018-02-06,28,45038,95
GB,UK - London,udp,2018-02-06,17,63204,74
GB,UK - London,udp,2018-02-06,64,7702,
DE,Germany - Nuremberg,udp,2018-02-06,58,41874,
FR,France - Paris - 1,udp,2018-02-06,46,5580,1486
GB,UK - London,udp,2018-02-06,24,60838,79
GB,UK - London,udp,2018-02-06,21,55998,93
GB,UK - London,udp,2018-02-06,30,40960,128
FR,France - Paris - 1,udp,2018-02-06,26,56224,74
FR,France - Paris - 1,udp,2018-02-06,32,46184,91
FR,UK - London,udp,2018-02-06,34,36922,120
GB,France - Paris - 1,tcp,2018-02-06,194,5906,397
GB,UK - London,udp,2018-02-06,29,40284,135
GB,UK - London,udp,2018-02-06,29,45966,113
GB,UK - London,udp,2018-02-06,19,85250,44
GB,UK - London,udp,2018-02-06,891,10596,85
GB,UK - London,udp,2018-02-06,79,15554,
FR,France - Paris - 1,udp,2018-02-06,37,9940,370
FR,France - Paris - 1,udp,2018-02-06,14,7882,1080
GB,UK - London,udp,2018-02-06,33,39006,130
FR,France - Paris - 1,udp,2018-02-06,27,14326,76
GB,UK - London,udp,2018-02-06,33,60672,58
GB,UK - London,udp,2018-02-06,32,38334,141
GB,UK - London,udp,2018-02-06,84,16376,
FR,France - Paris - 1,udp,2018-02-06,27,55264,70
GB,France - Paris - 1,tcp,2018-02-06,174,6576,768
FR,France - Paris - 1,udp,2018-02-06,41,39614,99
FR,France - Paris - 1,udp,2018-02-06,45,9408,
FR,France - Paris - 1,udp,2018-02-06,12,137068,25
FR,France - Paris - 1,udp,2018-02-06,27,13050,65
FR,France - Paris - 1,udp,2018-02-06,15,82594,61
GB,UK - London,udp,2018-02-06,24,51886,90
FR,France - Paris - 1,udp,2018-02-06,26,61090,65
FR,France - Paris - 1,l2tp,2018-02-06,61,14216,306
FR,France - Paris - 1,udp,2018-02-06,120,39448,82
FR,France - Paris - 1,udp,2018-02-06,26,63682,61
GB,UK - London,udp,2018-02-06,22,63548,73
GB,UK - London,udp,2018-02-06,19,81868,53
DE,Germany - Nuremberg,udp,2018-02-06,31,50386,77
GB,UK - London,udp,2018-02-06,908,14104,85
GB,UK - London,udp,2018-02-06,28,41274,126
GB,UK - London,udp,2018-02-06,30,45114,106
GB,UK - London,udp,2018-02-06,90,22474,149
FR,France - Paris - 1,udp,2018-02-06,37,44160,77
FR,UK - London,udp,2018-02-06,16,15406,64
FR,France - Paris - 1,udp,2018-02-06,5052,218,
DE,Germany - Nuremberg,udp,2018-02-06,129,7606,
GB,UK - London,udp,2018-02-06,29,40104,130
GB,UK - London,udp,2018-02-06,19,40256,114
GB,UK - London,udp,2018-02-06,42,18748,332
GB,UK - London,udp,2018-02-06,33,52390,70
GB,UK - London,udp,2018-02-06,54,28754,146
GB,UK - London,tcp,2018-02-06,30,34168,111
GB,UK - London,udp,2018-02-06,32,57382,72
DE,Germany - Nuremberg,udp,2018-02-06,31,48686,78
GB,UK - London,udp,2018-02-06,8,145404,32
GB,France - Paris - 1,udp,2018-02-06,86,25380,
FR,France - Paris - 1,udp,2018-02-06,86,19622,
GB,France - Paris - 1,udp,2018-02-06,39,48748,69
FR,France - Paris - 1,udp,2018-02-06,25,47826,104
GB,UK - London,tcp,2018-02-06,35,40800,68
GB,UK - London,udp,2018-02-06,21,90118,42
FR,UK - London,udp,2018-02-06,0,0,0
GB,UK - London,udp,2018-02-06,51,26362,153
GB,UK - London,udp,2018-02-06,24,54908,82
FR,UK - London,udp,2018-02-06,50,29338,168
DE,Germany - Nuremberg,udp,2018-02-06,22,65460,65
FR,France - Paris - 1,udp,2018-02-06,37,42310,107
GB,UK - London,udp,2018-02-06,81,14856,
GB,UK - London,tcp,2018-02-06,16,12290,523
GB,UK - London,udp,2018-02-06,71,16394,
FR,France - Paris - 1,udp,2018-02-06,31,51814,85
FR,UK - London,udp,2018-02-06,51,25868,197
GB,UK - London,udp,2018-02-06,83,12762,
GB,UK - London,udp,2018-02-06,81,16374,
GB,UK - London,udp,2018-02-06,65,22288,187
DE,Germany - Nuremberg,udp,2018-02-06,35,33304,157
FR,France - Paris - 1,udp,2018-02-06,10,185322,20
GB,UK - London,udp,2018-02-06,26,50930,94
DE,Germany - Nuremberg,udp,2018-02-06,38,40014,39
GB,UK - London,udp,2018-02-06,45,28300,169
GB,UK - London,tcp,2018-02-06,17,60060,41
FR,France - Paris - 1,udp,2018-02-06,106,38956,85
FR,France - Paris - 1,udp,2018-02-06,20,82752,52
FR,France - Paris - 1,udp,2018-02-06,43,31038,176
FR,UK - London,udp,2018-02-06,13,18040,458
GB,UK - London,udp,2018-02-06,11,66686,92
DE,Germany - Nuremberg,udp,2018-02-06,19,52800,33
GB,UK - London,udp,2018-02-06,44,15676,443
DE,Germany - Nuremberg,udp,2018-02-06,40,24510,59
GB,UK - London,udp,2018-02-06,18,58114,80
FR,UK - London,udp,2018-02-06,33,37216,145
GB,UK - London,udp,2018-02-06,0,0,0
DE,Germany - Nuremberg,udp,2018-02-06,55,31472,78
GB,UK - London,udp,2018-02-06,37,35204,145
FR,Germany - Nuremberg,udp,2018-02-06,13,16302,34
GB,UK - London,udp,2018-02-06,14,105224,35
